gid,decision,committing_side,disadvantaged_side,call_type,season,playoff,period,time,time2,time_min,time_sec,date,home,away,home_team,away_team
21400890,CC,,,Instant Replay: Support Ruling,2015,0,Q4,00:00.0,0.0,0,0.0,2015-03-03,CHA,LAL,Hornets,Lakers
21400893,INC,away,home,Foul: Shooting,2015,0,Q4,01:40.0,1.6666666666666663,1,40.0,2015-03-03,CHI,WAS,Bulls,Wizards
21400893,IC,home,,Turnover: Out of Bounds,2015,0,Q4,01:05.0,1.0833333333333333,1,5.0,2015-03-03,CHI,WAS,Bulls,Wizards
21400893,INC,away,home,Foul: Shooting,2015,0,Q4,00:39.4,0.6566666666666666,0,39.4,2015-03-03,CHI,WAS,Bulls,Wizards
21400893,CC,away,home,Foul: Personal,2015,0,Q4,00:35.5,0.5916666666666667,0,35.5,2015-03-03,CHI,WAS,Bulls,Wizards
21400893,CC,home,away,Foul: Shooting,2015,0,Q4,00:29.0,0.4833333333333333,0,29.0,2015-03-03,CHI,WAS,Bulls,Wizards
21400893,CC,away,home,Foul: Loose Ball,2015,0,Q4,00:08.5,0.1416666666666666,0,8.5,2015-03-03,CHI,WAS,Bulls,Wizards
21400893,INC,away,home,Foul: Offensive,2015,0,Q4,00:08.3,0.1383333333333333,0,8.3,2015-03-03,CHI,WAS,Bulls,Wizards
21400900,CC,home,away,Foul: Personal,2015,0,Q4,01:30.0,1.5,1,30.0,2015-03-04,TOR,CLE,Raptors,Cavaliers
21400900,CC,home,away,Foul: Personal,2015,0,Q4,00:29.6,0.4933333333333333,0,29.6,2015-03-04,TOR,CLE,Raptors,Cavaliers
21400900,CC,,,Stoppage: Out-of-Bounds,2015,0,Q4,00:29.1,0.485,0,29.1,2015-03-04,TOR,CLE,Raptors,Cavaliers
21400900,CC,home,away,Foul: Personal,2015,0,Q4,00:26.3,0.4383333333333333,0,26.3,2015-03-04,TOR,CLE,Raptors,Cavaliers
21400900,CC,home,away,Foul: Personal,2015,0,Q4,00:20.6,0.3433333333333334,0,20.6,2015-03-04,TOR,CLE,Raptors,Cavaliers
21400903,CC,home,,Violation: Kicked Ball,2015,0,Q4,01:31.0,1.5166666666666666,1,31.0,2015-03-04,NOP,DET,Pelicans,Pistons
21400903,CC,away,home,Foul: Personal,2015,0,Q4,00:13.4,0.2233333333333333,0,13.4,2015-03-04,NOP,DET,Pelicans,Pistons
21400903,CC,away,home,Foul: Personal,2015,0,Q4,00:09.5,0.1583333333333333,0,9.5,2015-03-04,NOP,DET,Pelicans,Pistons
21400905,CC,home,away,Foul: Personal,2015,0,Q4,01:53.0,1.8833333333333333,1,53.0,2015-03-04,MIA,LAL,Heat,Lakers
21400905,CC,home,away,Foul: Shooting,2015,0,Q4,01:44.0,1.7333333333333334,1,44.0,2015-03-04,MIA,LAL,Heat,Lakers
21400905,CC,away,home,Foul: Personal,2015,0,Q4,01:28.0,1.4666666666666668,1,28.0,2015-03-04,MIA,LAL,Heat,Lakers
21400905,IC,away,home,Foul: Personal,2015,0,Q4,00:15.6,0.26,0,15.6,2015-03-04,MIA,LAL,Heat,Lakers
21400905,CC,away,home,Foul: Personal,2015,0,Q4,00:04.5,0.075,0,4.5,2015-03-04,MIA,LAL,Heat,Lakers
21400901,CC,away,home,Foul: Offensive,2015,0,Q4,01:45.0,1.75,1,45.0,2015-03-04,HOU,MEM,Rockets,Grizzlies
21400901,CC,away,home,Foul: Personal,2015,0,Q4,01:37.0,1.6166666666666667,1,37.0,2015-03-04,HOU,MEM,Rockets,Grizzlies
21400901,CC,home,away,Foul: Shooting,2015,0,Q4,01:08.0,1.1333333333333333,1,8.0,2015-03-04,HOU,MEM,Rockets,Grizzlies
21400901,INC,away,home,Foul: Shooting,2015,0,Q4,01:00.0,1.0,1,0.0,2015-03-04,HOU,MEM,Rockets,Grizzlies
21400901,INC,away,,Turnover: 24 Second Violation,2015,0,Q4,00:31.9,0.5316666666666666,0,31.9,2015-03-04,HOU,MEM,Rockets,Grizzlies
21400901,INC,away,home,Foul: Shooting,2015,0,Q4,00:07.8,0.13,0,7.8,2015-03-04,HOU,MEM,Rockets,Grizzlies
21400904,CC,home,away,Foul: Personal,2015,0,Q4,01:59.0,1.9833333333333327,1,59.0,2015-03-04,OKC,PHI,Thunder,76ers
21400904,CC,away,home,Foul: Shooting,2015,0,Q4,01:32.0,1.5333333333333332,1,32.0,2015-03-04,OKC,PHI,Thunder,76ers
21400904,INC,home,,Turnover: 3 Second Violation,2015,0,Q4,00:42.0,0.7,0,42.0,2015-03-04,OKC,PHI,Thunder,76ers
21400904,CC,away,,Turnover: Backcourt Turnover,2015,0,Q5,04:42.0,4.7,4,42.0,2015-03-04,OKC,PHI,Thunder,76ers
21400904,CC,,,Stoppage: Out-of-Bounds,2015,0,Q5,04:02.0,4.033333333333333,4,2.0,2015-03-04,OKC,PHI,Thunder,76ers
21400904,CC,home,away,Foul: Personal,2015,0,Q5,03:43.0,3.716666666666667,3,43.0,2015-03-04,OKC,PHI,Thunder,76ers
21400904,CC,home,away,Foul: Loose Ball,2015,0,Q5,03:35.0,3.583333333333333,3,35.0,2015-03-04,OKC,PHI,Thunder,76ers
21400904,CC,away,home,Foul: Shooting,2015,0,Q5,01:55.0,1.9166666666666663,1,55.0,2015-03-04,OKC,PHI,Thunder,76ers
21400904,CC,home,away,Foul: Shooting,2015,0,Q5,01:44.0,1.7333333333333334,1,44.0,2015-03-04,OKC,PHI,Thunder,76ers
21400904,CC,home,away,Foul: Shooting,2015,0,Q5,01:20.0,1.3333333333333333,1,20.0,2015-03-04,OKC,PHI,Thunder,76ers
21400904,CC,away,home,Foul: Personal,2015,0,Q5,00:30.8,0.5133333333333333,0,30.8,2015-03-04,OKC,PHI,Thunder,76ers
21400904,CC,home,away,Foul: Personal,2015,0,Q5,00:26.5,0.4416666666666666,0,26.5,2015-03-04,OKC,PHI,Thunder,76ers
21400904,CC,away,home,Foul: Personal,2015,0,Q5,00:21.9,0.365,0,21.9,2015-03-04,OKC,PHI,Thunder,76ers
21400904,CC,,,Instant Replay: Overturn Ruling,2015,0,Q5,00:10.5,0.175,0,10.5,2015-03-04,OKC,PHI,Thunder,76ers
21400904,CC,away,home,Foul: Personal,2015,0,Q5,00:06.3,0.105,0,6.3,2015-03-04,OKC,PHI,Thunder,76ers
21400908,CC,,,Instant Replay: Support Ruling,2015,0,Q4,00:02.8,0.0466666666666666,0,2.8,2015-03-04,LAC,POR,Clippers,Trail Blazers
21400908,CC,,,Instant Replay: Support Ruling,2015,0,Q4,00:00.0,0.0,0,0.0,2015-03-04,LAC,POR,Clippers,Trail Blazers
21400908,CC,home,away,Foul: Personal,2015,0,Q5,04:47.0,4.783333333333333,4,47.0,2015-03-04,LAC,POR,Clippers,Trail Blazers
21400908,INC,home,,Turnover: Traveling,2015,0,Q5,04:07.0,4.116666666666666,4,7.0,2015-03-04,LAC,POR,Clippers,Trail Blazers
21400908,CC,home,away,Foul: Personal,2015,0,Q5,03:33.0,3.55,3,33.0,2015-03-04,LAC,POR,Clippers,Trail Blazers
21400908,CC,home,away,Foul: Shooting,2015,0,Q5,03:30.0,3.5,3,30.0,2015-03-04,LAC,POR,Clippers,Trail Blazers
21400908,INC,home,,Turnover: Offensive Goaltending,2015,0,Q5,01:52.0,1.8666666666666667,1,52.0,2015-03-04,LAC,POR,Clippers,Trail Blazers
21400908,INC,home,away,Foul: Personal,2015,0,Q5,01:29.0,1.4833333333333334,1,29.0,2015-03-04,LAC,POR,Clippers,Trail Blazers
21400908,INC,away,home,Foul: Loose Ball,2015,0,Q5,00:09.1,0.1516666666666666,0,9.1,2015-03-04,LAC,POR,Clippers,Trail Blazers
21400908,CC,away,home,Foul: Loose Ball,2015,0,Q5,00:07.0,0.1166666666666666,0,7.0,2015-03-04,LAC,POR,Clippers,Trail Blazers
21400908,INC,home,away,Foul: Personal,2015,0,Q5,00:01.2,0.02,0,1.2,2015-03-04,LAC,POR,Clippers,Trail Blazers
21400909,CC,,,Violation: Jump Ball,2015,0,Q4,01:57.0,1.95,1,57.0,2015-03-05,CHI,OKC,Bulls,Thunder
21400909,CC,home,away,Foul: Personal,2015,0,Q4,01:07.0,1.1166666666666667,1,7.0,2015-03-05,CHI,OKC,Bulls,Thunder
21400909,INC,away,,Violation: Lane,2015,0,Q4,01:07.0,1.1166666666666667,1,7.0,2015-03-05,CHI,OKC,Bulls,Thunder
21400909,CC,away,home,Foul: Personal,2015,0,Q4,00:28.9,0.4816666666666666,0,28.9,2015-03-05,CHI,OKC,Bulls,Thunder
21400909,CC,away,,Turnover: 24 Second Violation,2015,0,Q4,00:04.9,0.0816666666666666,0,4.9,2015-03-05,CHI,OKC,Bulls,Thunder
21400909,CC,,,Instant Replay: Support Ruling,2015,0,Q4,00:02.1,0.035,0,2.1,2015-03-05,CHI,OKC,Bulls,Thunder
21400909,CC,away,,Turnover: Out of Bounds,2015,0,Q4,00:01.2,0.02,0,1.2,2015-03-05,CHI,OKC,Bulls,Thunder
21400909,CC,away,home,Foul: Personal,2015,0,Q4,00:00.2,0.0033333333333333,0,0.2,2015-03-05,CHI,OKC,Bulls,Thunder
21400918,CC,away,home,Foul: Shooting,2015,0,Q4,01:36.0,1.6,1,36.0,2015-03-06,MEM,LAL,Grizzlies,Lakers
21400918,CC,,,Instant Replay: Support Ruling,2015,0,Q4,00:51.8,0.8633333333333333,0,51.8,2015-03-06,MEM,LAL,Grizzlies,Lakers
