attendance,away,away_score,away_team,date,gid,home,home_score,home_team,national_tv,playoff,season,beta,delta,home_IC,home_INC,away_IC,away_INC,n_plays,whos_favored,spread,id_spread,home_fav,home_covered,score_diff,period,nwg,ar,nwg_direction,spread_signed,cover_check,id_spread_match,score_home_match,score_away_match
19911,DET,85,Pistons,2015-03-14,21400980,UTA,88,Jazz,no,0,2015,0,1,0,0,0,1,3,home,8.0,0.0,True,0.0,3.0,Pre-COVID,-1,0.0,NWG < 0,-8.0,0.0,True,True,True
18203,CHI,100,Bulls,2015-03-15,21400982,OKC,109,Thunder,ABC,0,2015,1,0,0,1,0,0,13,home,7.0,1.0,True,1.0,9.0,Pre-COVID,1,1.0,NWG > 0,-7.0,1.0,True,True,True
17248,DEN,118,Nuggets,2015-03-15,21400984,NOP,111,Pelicans,no,0,2015,6,1,0,6,0,4,34,home,7.5,0.0,True,0.0,-7.0,Pre-COVID,5,0.8571428571428571,NWG > 0,-7.5,0.0,True,True,True
19211,HOU,100,Rockets,2015-03-15,21400983,LAC,98,Clippers,ABC,0,2015,1,0,0,1,0,0,16,home,5.0,0.0,True,0.0,-2.0,Pre-COVID,1,1.0,NWG > 0,-5.0,0.0,True,True,True
16835,ATL,110,Hawks,2015-03-16,21400998,SAC,103,Kings,no,0,2015,1,0,0,1,0,0,11,away,4.5,1.0,False,0.0,-7.0,Pre-COVID,1,1.0,NWG > 0,4.5,0.0,True,True,True
19596,LAL,105,Lakers,2015-03-16,21400999,GSW,108,Warriors,ESPN,0,2015,1,1,1,1,0,0,8,home,18.0,0.0,True,0.0,3.0,Pre-COVID,0,0.5,NWG = 0,-18.0,0.0,True,True,True
20231,OKC,115,Thunder,2015-03-16,21400996,DAL,119,Mavericks,no,0,2015,0,0,0,0,0,0,17,home,6.5,0.0,True,0.0,4.0,Pre-COVID,0,,NWG = 0,-6.5,0.0,True,True,True
17881,MIL,84,Bucks,2015-03-17,21401003,NOP,85,Pelicans,no,0,2015,0,2,0,0,0,2,9,home,7.0,0.0,True,0.0,1.0,Pre-COVID,-2,0.0,NWG < 0,-7.0,0.0,True,True,True
19812,SAS,100,Spurs,2015-03-17,21401001,NYK,104,Knicks,no,0,2015,3,2,0,3,0,4,29,away,15.0,0.0,False,1.0,4.0,Pre-COVID,1,0.6,NWG > 0,15.0,1.0,True,True,True
19800,MIN,100,Timberwolves,2015-03-18,21401008,TOR,105,Raptors,no,0,2015,0,0,0,0,0,0,5,home,11.0,0.0,True,0.0,5.0,Pre-COVID,0,,NWG = 0,-11.0,0.0,True,True,True
20294,ORL,102,Magic,2015-03-18,21401012,DAL,107,Mavericks,no,0,2015,1,1,0,1,0,1,17,home,12.5,0.0,True,0.0,5.0,Pre-COVID,0,0.5,NWG = 0,-12.5,0.0,True,True,True
19621,POR,104,Trail Blazers,2015-03-18,21401007,MIA,108,Heat,no,0,2015,0,0,0,0,0,0,5,away,2.5,0.0,False,1.0,4.0,Pre-COVID,0,,NWG = 0,2.5,1.0,True,True,True
19812,MIN,95,Timberwolves,2015-03-19,21401016,NYK,92,Knicks,no,0,2015,1,3,1,1,0,4,23,home,2.0,0.0,True,0.0,-3.0,Pre-COVID,-2,0.25,NWG < 0,-2.0,0.0,True,True,True
18055,NOP,72,Pelicans,2015-03-19,21401018,PHX,74,Suns,no,0,2015,1,1,0,1,0,2,12,home,3.0,0.0,True,0.0,2.0,Pre-COVID,0,0.5,NWG = 0,-3.0,0.0,True,True,True
17407,UTA,80,Jazz,2015-03-19,21401019,LAL,73,Lakers,no,0,2015,0,0,0,0,0,0,7,away,4.5,1.0,False,0.0,-7.0,Pre-COVID,0,,NWG = 0,4.5,0.0,True,True,True
20562,IND,92,Pacers,2015-03-20,21401023,CLE,95,Cavaliers,no,0,2015,0,1,0,0,0,1,8,home,10.5,0.0,True,0.0,3.0,Pre-COVID,-1,0.0,NWG < 0,-10.5,0.0,True,True,True
16272,MIL,127,Bucks,2015-03-20,21401022,BKN,129,Nets,no,0,2015,4,1,0,4,0,1,47,home,2.0,2.0,True,,2.0,Pre-COVID,3,0.8,NWG > 0,-2.0,0.0,False,True,True
17435,DAL,92,Mavericks,2015-03-22,21401046,PHX,98,Suns,no,0,2015,3,5,1,3,0,4,19,away,4.5,0.0,False,1.0,6.0,Pre-COVID,-2,0.375,NWG < 0,4.5,1.0,True,True,True
18624,DET,105,Pistons,2015-03-22,21401043,BOS,97,Celtics,no,0,2015,3,1,0,3,0,2,28,home,5.5,0.0,True,0.0,-8.0,Pre-COVID,2,0.75,NWG > 0,-5.5,0.0,True,True,True
19911,MIN,106,Timberwolves,2015-03-23,21401052,UTA,104,Jazz,no,0,2015,1,0,0,1,0,2,30,home,10.5,0.0,True,0.0,-2.0,Pre-COVID,1,1.0,NWG > 0,-10.5,0.0,True,True,True
12313,MIA,88,Heat,2015-03-24,21401055,MIL,89,Bucks,no,0,2015,0,0,0,0,0,1,10,away,2.0,0.0,False,1.0,1.0,Pre-COVID,0,,NWG = 0,2.0,1.0,True,True,True
16636,PHI,106,76ers,2015-03-24,21401058,SAC,107,Kings,no,0,2015,1,1,0,1,0,1,12,home,8.5,0.0,True,0.0,1.0,Pre-COVID,0,0.5,NWG = 0,-8.5,0.0,True,True,True
